split,z0,z1,signed_cost,dz0_dt,dz1_dt
heldout,0.01200000000000001,0.048000000000000015,0.00017577167772089147,0.0,-0.012401903779490908
train,0.01200000000000001,0.06,0.00034437384210674743,0.0,-0.01570177194987199
heldout,0.01200000000000001,0.07200000000000001,0.0005526926726525869,0.0,-0.019021262442076026
train,0.01200000000000001,0.08400000000000002,0.0008009605446221077,0.0,-0.022359859059295495
heldout,0.01200000000000001,0.096,0.0010894036115912872,0.0,-0.025717041066131152
train,0.01200000000000001,0.10800000000000001,0.0014182417515743659,0.0,-0.029092283283516096
heldout,0.01200000000000001,0.12,0.001787688514256501,0.0,-0.03248505618697051
train,0.02400000000000002,-0.12,0.001600009404773492,0.0,0.032153308185955964
heldout,0.02400000000000002,-0.108,0.0012320313670191457,0.0,0.029171892083068585
train,0.02400000000000002,-0.096,0.0008999903688011041,0.0,0.0261638752854787
heldout,0.02400000000000002,-0.08399999999999999,0.0006042029553616074,0.0,0.023129702609314684
train,0.02400000000000002,-0.072,0.0003449802995342671,0.0,0.020069824633317523
heldout,0.02400000000000002,-0.06,0.0001226281329873985,0.0,0.01698469762251298
train,0.02400000000000002,-0.04799999999999999,-6.255332158984495e-05,0.0,0.013874783457157314
heldout,0.02400000000000002,-0.03599999999999999,-0.00021026941735365068,0.0,0.010740549554744128
train,0.02400000000000002,-0.023999999999999994,-0.0003202311492049442,0.0,0.007582468779521179
heldout,0.02400000000000002,-0.011999999999999997,-0.00039215521871434345,0.0,0.0044010193572807665
train,0.02400000000000002,0.0,-0.000425764098057127,0.0,0.0011966848173505795
heldout,0.02400000000000002,0.01200000000000001,-0.0004207860929458934,0.0,-0.0020300461220368327
train,0.02400000000000002,0.02400000000000002,-0.00037695540454725507,0.0,-0.005278679622300331
heldout,0.02400000000000002,0.036000000000000004,-0.00029401219037246407,0.0,-0.008548716811940249
train,0.02400000000000002,0.048000000000000015,-0.00017170262413164494,0.0,-0.011839653876188905
heldout,0.02400000000000002,0.06,-9.778954532316253e-06,0.0,-0.015150982145550884
train,0.02400000000000002,0.07200000000000001,0.00019200043697924218,0.0,-0.01848218818101266
heldout,0.02400000000000002,0.08400000000000002,0.00043387097955331633,0.0,-0.021832753870354438
train,0.02400000000000002,0.096,0.0007160618573578831,0.0,-0.02520215651169444
heldout,0.02400000000000002,0.10800000000000001,0.001038795955092417,0.0,-0.028589868907857863
train,0.02400000000000002,0.12,0.0014022898046101434,0.0,-0.031995359463798945
heldout,0.036000000000000004,-0.12,0.0011463411621222136,0.0,0.03285463580721126
train,0.036000000000000004,-0.108,0.00076998862698964,0.0,0.02986626821771532
heldout,0.036000000000000004,-0.096,0.00042965819530328686,0.0,0.02685102576061027
train,0.036000000000000004,-0.08399999999999999,0.0001256696961769027,0.0,0.023809354298132135
heldout,0.036000000000000004,-0.072,-0.00014166242665412943,0.0,0.02074170551619181
train,0.036000000000000004,-0.06,-0.0003720291842449347,0.0,0.01764853684776968
heldout,0.036000000000000004,-0.04799999999999999,-0.0005651271109184813,0.0,0.014530311391314221
train,0.036000000000000004,-0.03599999999999999,-0.0007206583317870136,0.0,0.011387497831916171
heldout,0.036000000000000004,-0.023999999999999994,-0.0008383306293033715,0.0,0.008220570361094914
train,0.036000000000000004,-0.011999999999999997,-0.0009178575088355373,0.0,0.005030008594364421
heldout,0.036000000000000004,0.0,-0.0009589582632474197,0.0,0.0018162974863011883
train,0.036000000000000004,0.01200000000000001,-0.0009613580364708912,0.0,-0.0014200727541102687
heldout,0.036000000000000004,0.02400000000000002,-0.0009247878860644126,0.0,-0.004678606747576808
train,0.036000000000000004,0.036000000000000004,-0.0008489848447348208,0.0,-0.00795880403164917
heldout,0.036000000000000004,0.048000000000000015,-0.0007336919808200587,0.0,-0.011260159143711146
train,0.036000000000000004,0.06,-0.0005786584577190806,0.0,-0.014582161718401654
heldout,0.036000000000000004,0.07200000000000001,-0.000383639592246951,0.0,-0.017924296563942566
train,0.036000000000000004,0.08400000000000002,-0.00014839691191979865,0.0,-0.021286043770385454
heldout,0.036000000000000004,0.096,0.00012730178885179966,0.0,-0.024666878783441426
train,0.036000000000000004,0.10800000000000001,0.00044368239367344187,0.0,-0.02806627250578897
heldout,0.036000000000000004,0.12,0.0008009644101880792,0.0,-0.031483691390055135
train,0.048000000000000015,-0.12,0.00047943540110942373,0.0,0.03356216494193598
heldout,0.048000000000000015,-0.108,9.462939237195322e-05,0.0,0.030567605981690615
train,0.048000000000000015,-0.096,-0.0002540785858771988,0.0,0.02754590054249162
heldout,0.048000000000000015,-0.08399999999999999,-0.0005663654508516192,0.0,0.02449749543442792
train,0.048000000000000015,-0.072,-0.0008419135167998248,0.0,0.021422843348439802
heldout,0.048000000000000015,-0.06,-0.0010804105650773221,0.0,0.01832240276083974
train,0.048000000000000015,-0.04799999999999999,-0.0012815499132732,0.0,0.015196637883352349
heldout,0.048000000000000015,-0.03599999999999999,-0.0014450304833809324,0.0,0.012046018563471872
train,0.048000000000000015,-0.023999999999999994,-0.0015705568689972915,0.0,0.008871020205081237
heldout,0.048000000000000015,-0.011999999999999997,-0.0016578394015402675,0.0,0.005672123695454889
train,0.048000000000000015,0.0,-0.0017065942154687874,0.0,0.002449815307004055
heldout,0.048000000000000015,0.01200000000000001,-0.001716543312490132,0.0,-0.0007954133748877545
train,0.048000000000000015,0.02400000000000002,-0.0016874146247502775,0.0,-0.00406306554179281
heldout,0.048000000000000015,0.036000000000000004,-0.001618942076988733,0.0,-0.007352639251057003
train,0.048000000000000015,0.048000000000000015,-0.0015108656476417737,0.0,-0.010663627513229912
heldout,0.048000000000000015,0.06,-0.0013629314288921834,0.0,-0.01399551837061308
train,0.048000000000000015,0.07200000000000001,-0.0011748916856439695,0.0,-0.017347795009114986
heldout,0.048000000000000015,0.08400000000000002,-0.000946504913421603,0.0,-0.0207199358237542
train,0.048000000000000015,0.096,-0.0006775358951620347,0.0,-0.02411141453190213
heldout,0.048000000000000015,0.10800000000000001,-0.00036775575691902485,0.0,-0.02752170024572509
train,0.048000000000000015,0.12,-1.69420224343797e-05,0.0,-0.030950257587092356
heldout,0.06,-0.12,-0.0004014283211443148,0.0,0.03427568516456425
train,0.06,-0.108,-0.0007947642490662155,0.0,0.03127569403543751
heldout,0.06,-0.096,-0.0011519353458536719,0.0,0.028248287458343402
train,0.06,-0.08399999999999999,-0.0014726153060038438,0.0,0.025193913075205465
heldout,0.06,-0.072,-0.0017564832314009848,0.0,0.02211302446097907
train,0.06,-0.06,-0.002003223702039869,0.0,0.01900608104510315
heldout,0.06,-0.04799999999999999,-0.0022125268457973135,0.0,0.015873548033507046
train,0.06,-0.03599999999999999,-0.0023840884072439117,0.0,0.012715896325621312
heldout,0.06,-0.023999999999999994,-0.0025176098154857662,0.0,0.009533602427502785
train,0.06,-0.011999999999999997,-0.002612798251016457,0.0,0.006327148380225189
heldout,0.06,0.0,-0.002669366711572252,0.0,0.0030970216741144085
train,0.06,0.01200000000000001,-0.0026870340769706846,0.0,-0.00015628485033891693
heldout,0.06,0.02400000000000002,-0.002665525172923622,0.0,-0.003432273065206992
train,0.06,0.036000000000000004,-0.002604570833818154,0.0,-0.006730439665869614
heldout,0.06,0.048000000000000015,-0.00250390796444111,0.0,-0.010050276243456224
train,0.06,0.06,-0.0023632796006405332,0.0,-0.013391269372553527
heldout,0.06,0.07200000000000001,-0.002182434968915681,0.0,-0.016752900720007347
