split,z0,z1,signed_cost,dz0_dt,dz1_dt
train,-0.096,0.048000000000000015,-0.006247597779823866,0.04464944642429414,-0.01665661195582313
heldout,-0.096,0.06,-0.006028766904019767,0.04502995001987031,-0.019818125197579306
train,-0.096,0.07200000000000001,-0.005771893626648539,0.045391451155285534,-0.022996930215957168
heldout,-0.096,0.08400000000000002,-0.005476773404899382,0.04573369018073814,-0.02619253324398496
train,-0.096,0.096,-0.00514320764568621,0.04605641047206177,-0.029404436443225546
heldout,-0.096,0.10800000000000001,-0.004771003753874292,0.04635935850538786,-0.032632138002308686
train,-0.096,0.12,-0.004359975179447417,0.046642283893783,-0.03587513223018979
heldout,-0.08399999999999999,-0.12,-0.003802181593937609,0.03183226583214349,0.026151976846022773
train,-0.08399999999999999,-0.108,-0.00409872191601654,0.032458363840304205,0.023267367681434337
heldout,-0.08399999999999999,-0.096,-0.00436050233257132,0.03307013903913747,0.020358730595249064
train,-0.08399999999999999,-0.08399999999999999,-0.004587237085810408,0.03366729704495919,0.017426496010941595
heldout,-0.08399999999999999,-0.072,-0.004778645614563398,0.034249545594333686,0.014471099598067916
train,-0.08399999999999999,-0.06,-0.004934452616784352,0.03481659460985442,0.011492982196215085
heldout,-0.08399999999999999,-0.04799999999999999,-0.005054388111148195,0.03536815625482248,0.00849258973839584
train,-0.08399999999999999,-0.03599999999999999,-0.005138187497737173,0.03590394498542704,0.00547037318165966
heldout,-0.08399999999999999,-0.023999999999999994,-0.0051855916178047134,0.03642367762679566,0.0024267884185524835
train,-0.08399999999999999,-0.011999999999999997,-0.005196346812601699,0.036927073413239864,-0.000637703792549793
heldout,-0.08399999999999999,0.0,-0.005170204981254839,0.037413854057921636,-0.003722637910430482
train,-0.08399999999999999,0.01200000000000001,-0.005106923637689137,0.037883743809197234,-0.006827543691245719
heldout,-0.08399999999999999,0.02400000000000002,-0.005006265966575024,0.038336469504185455,-0.00995194626651763
train,-0.08399999999999999,0.036000000000000004,-0.004868000878301609,0.038771760620948115,-0.013095366231674621
heldout,-0.08399999999999999,0.048000000000000015,-0.004691903062950725,0.039189349348711655,-0.01625731972265676
train,-0.08399999999999999,0.06,-0.004477753043270333,0.03958897062811273,-0.019437318508064294
heldout,-0.08399999999999999,0.07200000000000001,-0.004225337226638287,0.03997036221808914,-0.02263487006215481
train,-0.08399999999999999,0.08400000000000002,-0.00393444795599715,0.04033326473862342,-0.02584947766282042
heldout,-0.08399999999999999,0.096,-0.0036048835597584927,0.04067742173319289,-0.02908064046958092
train,-0.08399999999999999,0.10800000000000001,-0.0032364484006597027,0.04100257972206034,-0.03232785361656498
heldout,-0.08399999999999999,0.12,-0.0028289529235721866,0.04130848825029121,-0.03559060829605443
train,-0.072,-0.12,-0.002366312955904948,0.02622953149927776,0.02678908658571011
heldout,-0.072,-0.108,-0.0026704161128559,0.02686388222955527,0.023890681149218995
train,-0.072,-0.096,-0.002939592040360095,0.027484668676525104,0.020967953349437796
heldout,-0.072,-0.08399999999999999,-0.0031735514594344316,0.028091598371637883,0.018021335640439062
train,-0.072,-0.072,-0.0033720103125142176,0.028684380853627456,0.015051265790377855
heldout,-0.072,-0.06,-0.0035346898266711557,0.02926272773012828,0.012058186792396342
train,-0.072,-0.04799999999999999,-0.00366131657592339,0.029826352745121465,0.009042546797732864
heldout,-0.072,-0.03599999999999999,-0.003751622542636057,0.030374971824453922,0.006004799034398101
train,-0.072,-0.023999999999999994,-0.003805345177983699,0.03090830314911308,0.002945401729737007
heldout,-0.072,-0.011999999999999997,-0.0038222274614788665,0.03142606720241137,-0.0001351819675643462
train,-0.072,0.0,-0.003802017959543713,0.031927986822999355,-0.003236484066859724
heldout,-0.072,0.01200000000000001,-0.0037444708831160245,0.03241378728813249,-0.0063580318215850085
train,-0.072,0.02400000000000002,-0.0036493461442854702,0.03288319633532044,-0.009499347800034919
heldout,-0.072,0.036000000000000004,-0.003516409411933763,0.03333594424170805,-0.012659949980287077
train,-0.072,0.048000000000000015,-0.0033454321663840547,0.03377176387431291,-0.01583935182819518
heldout,-0.072,0.06,-0.0031361917530392525,0.03419039074442631,-0.01903706237565972
train,-0.072,0.07200000000000001,-0.002888471434997819,0.034591563054797714,-0.022252586323046053
heldout,-0.072,0.08400000000000002,-0.0026020604446422846,0.03497502177041145,-0.02548542410663046
train,-0.072,0.096,-0.0022767540341889214,0.035340510661507896,-0.02873507199463443
heldout,-0.072,0.10800000000000001,-0.0019123535251801549,0.035687776345771915,-0.032001022178540506
train,-0.072,0.12,-0.00150866635692537,0.036016568366048496,-0.03528276285857945
heldout,-0.06,-0.12,-0.00113797683592054,0.020672716310177197,0.02743399771965027
train,-0.06,-0.108,-0.0014497409914450143,0.02131517371189995,0.024522554186445777
heldout,-0.06,-0.096,-0.0017264197037522022,0.02194482662365438,0.021586495837222497
train,-0.06,-0.08399999999999999,-0.00196772019596847,0.022561384545316532,0.01862625705950638
heldout,-0.06,-0.072,-0.0021733549361170335,0.02316455888273783,0.015642277601812804
train,-0.06,-0.06,-0.0023430417010487092,0.023754062997149994,0.012635002508420978
heldout,-0.06,-0.04799999999999999,-0.0024765036394620576,0.024329612273443768,0.009604882029445871
train,-0.06,-0.03599999999999999,-0.002573469334006151,0.024890924174292284,0.006552371561163728
heldout,-0.06,-0.023999999999999994,-0.0026336728624428707,0.025437718294551992,0.003477931548034885
train,-0.06,-0.011999999999999997,-0.0026568538578704004,0.025969716427876044,0.0003820274183108374
heldout,-0.06,0.0,-0.0026427575679797144,0.026486642614731437,-0.0027348705033958254
train,-0.06,0.01200000000000001,-0.00259113491334817,0.02698822321262062,-0.005872287074382143
heldout,-0.06,0.02400000000000002,-0.002501742544747998,0.027474186928277966,-0.009029742417121511
train,-0.06,0.036000000000000004,-0.0023743428994636995,0.027944264897328264,-0.012206752005583521
heldout,-0.06,0.048000000000000015,-0.0022087042566025783,0.02839819072675276,-0.015402826743227127
train,-0.06,0.06,-0.0020046007913933073,0.028835700558726973,-0.018617473051263378
heldout,-0.06,0.07200000000000001,-0.001761812628459536,0.02925653311669496,-0.021850192959416148
train,-0.06,0.08400000000000002,-0.001480125894052331,0.029660429757827345,-0.025100484182527527
heldout,-0.06,0.096,-0.0011593327672400067,0.0300471345396347,-0.028367840216314555
train,-0.06,0.10800000000000001,-0.0007992315300396902,0.030416394253274248,-0.03165175042174617
heldout,-0.06,0.12,-0.00039962661648274,0.030767958494326564,-0.034951700114971285
train,-0.04799999999999999,-0.12,-0.00011773388913857707,0.015163420350461365,0.028086559993034665
heldout,-0.04799999999999999,-0.108,-0.0004372554105166182,0.01581383108323342,0.025162837649639336
train,-0.04799999999999999,-0.096,-0.0007215423988252423,0.016452198152439035,0.022214210099180676
heldout,-0.04799999999999999,-0.08399999999999999,-0.0009702986033674754,0.017078233095213502,0.01924111355022795
train,-0.04799999999999999,-0.072,-0.0011832330405042446,0.017691649242534968,0.016243989626185673
heldout,-0.04799999999999999,-0.06,-0.0013600600582928946,0.01829216177612336,0.013223285304231336
train,-0.04799999999999999,-0.04799999999999999,-0.0015004994002154326,0.01887948778478421,0.010179452832603797
heldout,-0.04799999999999999,-0.03599999999999999,-0.0016042762679707445,0.01945334633018936,0.007112949655108114
train,-0.04799999999999999,-0.023999999999999994,-0.001671121383339108,0.020013458492118552,0.004024238326738594
heldout,-0.04799999999999999,-0.011999999999999997,-0.001700771049087807,0.020559547431742153,0.0009137864437347432
train,-0.04799999999999999,0.0,-0.0016929672089152914,0.02109133845629163,-0.002217933449677467
heldout,-0.04799999999999999,0.01200000000000001,-0.0016474575064204522,0.021608559059305144,-0.005370443927621427
train,-0.04799999999999999,0.02400000000000002,-0.0015639953430851283,0.022110938992236928,-0.00854326278165729
heldout,-0.04799999999999999,0.036000000000000004,-0.0014423399352584132,0.022598210305813105,-0.011735903090170918
train,-0.04799999999999999,0.048000000000000015,-0.0012822563701284373,0.023070107419420616,-0.014947873314685722
heldout,-0.04799999999999999,0.06,-0.0010835156606805174,0.023526367161630368,-0.0181786773761905
train,-0.04799999999999999,0.07200000000000001,-0.0008458947996135835,0.0239667288312595,-0.021427814750618612
heldout,-0.04799999999999999,0.08400000000000002,-0.0005691768122243201,0.024390934252327412,-0.024694780544343153
train,-0.04799999999999999,0.096,-0.0002531508082287137,0.024798727827624045,-0.027979065591876573
heldout,-0.04799999999999999,0.10800000000000001,0.00010238796746755985,0.025189856583673897,-0.031280156542468074
train,-0.04799999999999999,0.12,0.0004976380850873208,0.025564070230688074,-0.03459753595308479
heldout,-0.03599999999999999,-0.12,0.0006938361789750186,0.009703218477041808,0.02874661602120243
train,-0.03599999999999999,-0.108,0.0003664628078067361,0.010361422011495591,0.025811375042039675
heldout,-0.03599999999999999,-0.096,7.446392457967355e-05,0.011008343512031171,0.02285094059639725
train,-0.03599999999999999,-0.08399999999999999,-0.00018186077101887965,0.011643696626040256,0.019865750590652986
heldout,-0.03599999999999999,-0.072,-0.00040221686720774696,0.012267196670412428,0.016856248420404896
train,-0.03599999999999999,-0.06,-0.0005863153054488229,0.012878560709528308,0.013822882887759569
heldout,-0.03599999999999999,-0.04799999999999999,-0.0007338724448710948,0.01347750760494204,0.010766108121673668
train,-0.03599999999999999,-0.03599999999999999,-0.0008446101257610777,0.014063758077276223,0.007686383505234318
heldout,-0.03599999999999999,-0.023999999999999994,-0.0009182557321115586,0.014637034753961498,0.004584173593780161
train,-0.03599999999999999,-0.011999999999999997,-0.0009545422532088871,0.01519706223279682,0.0014599480352428529
heldout,-0.03599999999999999,0.0,-0.0009532083442605893,0.01574356714412195,-0.0016858185128421077
train,-0.03599999999999999,0.01200000000000001,-0.0009139983860335515,0.01627627819578148,-0.004852646462716326
heldout,-0.03599999999999999,0.02400000000000002,-0.0008366625435064362,0.016794926232521767,-0.008040051379665236
train,-0.03599999999999999,0.036000000000000004,-0.0007209568235170133,0.017299244291779647,-0.011247544071113502
heldout,-0.03599999999999999,0.048000000000000015,-0.0005666431313930825,0.017788967655585353,-0.014474630657956844
train,-0.03599999999999999,0.06,-0.00037348932655732747,0.018263833914955452,-0.017720812687249676
heldout,-0.03599999999999999,0.07200000000000001,-0.00014126927709688653,0.018723583012636436,-0.020985587186883592
train,-0.03599999999999999,0.08400000000000002,0.00013023708671890122,0.01916795729195453,-0.02426844677105855
heldout,-0.03599999999999999,0.096,0.0004412437199736857,0.019596701565927077,-0.027568879736317164
train,-0.03599999999999999,0.10800000000000001,0.0007919584117149908,0.02000956315917346,-0.030886370133154095
